channel_name,year,video_count,mean_view_count,mean_like_count,mean_comment_count,mean_duration_sec
Anna recetasfaciles,2014,5,344752.4,3219.4,136.6,594.6
Anna recetasfaciles,2015,159,428969.77987421385,6575.672955974843,93.26415094339623,321.37106918238993
Anna recetasfaciles,2016,47,1655238.6170212766,35882.65957446808,718.3829787234042,430.1063829787234
Anna recetasfaciles,2017,54,1555742.7777777778,41673.25925925926,716.7222222222222,421.1666666666667
Anna recetasfaciles,2018,69,1859838.7246376812,70650.37681159421,1062.7391304347825,418.9855072463768
Anna recetasfaciles,2019,77,885588.7532467532,32363.402597402597,602.3376623376623,465.76623376623377
Anna recetasfaciles,2020,71,1126366.042253521,41695.52112676056,841.6197183098592,1342.6760563380283
Anna recetasfaciles,2021,133,454595.4060150376,17880.812030075187,496.6842105263158,1396.578947368421
Anna recetasfaciles,2022,197,225982.70558375635,8368.045685279189,133.23857868020303,950.984771573604
Anna recetasfaciles,2023,289,135051.14532871972,3584.2456747404844,60.81660899653979,436.3217993079585
Jauja Cocina Mexicana,2014,37,863830.027027027,15545.324324324325,375.56756756756755,337.86486486486484
Jauja Cocina Mexicana,2015,69,943681.3623188406,16546.420289855072,364.92753623188406,299.6376811594203
Jauja Cocina Mexicana,2016,91,3096517.4395604394,70570.26373626373,1669.868131868132,409.0989010989011
Jauja Cocina Mexicana,2017,109,2784215.0642201835,65689.00917431193,1899.7981651376147,489.48623853211006
Jauja Cocina Mexicana,2018,90,2619932.711111111,69561.24444444444,2431.8333333333335,444.4888888888889
Jauja Cocina Mexicana,2019,92,2053024.391304348,56112.934782608696,2013.2065217391305,387.0652173913044
Jauja Cocina Mexicana,2020,88,2090516.125,59371.96590909091,2005.6704545454545,426.07954545454544
Jauja Cocina Mexicana,2021,75,1283691.52,43785.293333333335,1696.9866666666667,482.68
Jauja Cocina Mexicana,2022,75,611278.4533333334,25731.346666666668,979.0666666666667,472.2133333333333
Jauja Cocina Mexicana,2023,38,369981.65789473685,18628.42105263158,727.2894736842105,520.2105263157895
La Cocina de Loli Dominguez,2013,24,163157.04166666666,1821.25,95.16666666666667,410.5833333333333
La Cocina de Loli Dominguez,2014,109,202460.73394495412,2585.743119266055,94.39449541284404,471.9633027522936
La Cocina de Loli Dominguez,2015,83,190345.63855421686,4430.289156626506,132.3012048192771,586.289156626506
La Cocina de Loli Dominguez,2016,93,276856.59139784944,7081.129032258064,208.72043010752688,779.1290322580645
La Cocina de Loli Dominguez,2017,121,224230.23140495867,7130.289256198347,231.49586776859505,928.5371900826447
La Cocina de Loli Dominguez,2018,100,284267.31,10704.4,300.03,702.12
La Cocina de Loli Dominguez,2019,105,598140.7904761905,25290.504761904762,406.96190476190475,786.4380952380952
La Cocina de Loli Dominguez,2020,107,765774.9626168224,37880.93457943925,556.0373831775701,813.196261682243
La Cocina de Loli Dominguez,2021,97,553014.793814433,24926.443298969072,471.2061855670103,854.0515463917526
La Cocina de Loli Dominguez,2022,105,262315.04761904763,11526.67619047619,254.6952380952381,795.8095238095239
La Cocina de Loli Dominguez,2023,79,283956.2025316456,8035.9240506329115,150.45569620253164,575.4303797468355
Temperos e Sabores,2014,107,158914.8504672897,2655.336448598131,129.7570093457944,806.6915887850467
Temperos e Sabores,2015,133,311863.045112782,5303.383458646616,184.61654135338347,622.7067669172932
Temperos e Sabores,2016,161,550510.9440993789,11818.701863354037,368.5900621118012,509.72670807453414
Temperos e Sabores,2017,164,616877.3475609756,20067.932926829268,632.6219512195122,716.6646341463414
Temperos e Sabores,2018,214,277314.6028037383,10169.728971962617,305.31775700934577,690.392523364486
Temperos e Sabores,2019,216,373164.18518518517,16819.708333333332,472.6712962962963,792.0972222222222
Temperos e Sabores,2020,114,526479.2280701754,24548.184210526317,763.6315789473684,800.5175438596491
Temperos e Sabores,2021,120,398870.85,19690.091666666667,590.2083333333334,706.2666666666667
Temperos e Sabores,2022,110,174895.44545454546,9634.781818181818,367.74545454545455,756.9272727272727
Temperos e Sabores,2023,120,134156.19166666668,5075.416666666667,139.8,518.9333333333333
VICKY RECETA FACIL,2011,12,305039.75,2191.9166666666665,48.583333333333336,244.66666666666666
VICKY RECETA FACIL,2012,89,108023.59550561798,870.8426966292135,20.51685393258427,40.31460674157304
VICKY RECETA FACIL,2013,91,447180.4835164835,5201.571428571428,58.637362637362635,219.46153846153845
VICKY RECETA FACIL,2014,94,1258226.5531914893,24827.90425531915,294.4148936170213,532.6170212765958
VICKY RECETA FACIL,2015,100,1613957.49,32779.24,432.76,757.73
VICKY RECETA FACIL,2016,98,1330821.0,31054.724489795917,621.1122448979592,709.5510204081633
VICKY RECETA FACIL,2017,100,1102450.43,28660.69,666.12,694.73
VICKY RECETA FACIL,2018,102,957385.2843137255,26502.43137254902,624.156862745098,748.2254901960785
VICKY RECETA FACIL,2019,104,657307.3461538461,22436.66346153846,671.4711538461538,600.7211538461538
VICKY RECETA FACIL,2020,101,764590.0990099009,25774.336633663366,553.7326732673267,543.2178217821782
VICKY RECETA FACIL,2021,93,470710.2150537634,17158.827956989247,420.258064516129,483.0
VICKY RECETA FACIL,2022,102,285261.0588235294,10096.117647058823,238.8235294117647,483.7352941176471
VICKY RECETA FACIL,2023,22,134257.5,5838.772727272727,148.77272727272728,421.59090909090907
